FECHA,HORA,CANTON,PARROQUIA,ZONA,LATITUD_Y,LONGITUD_X,DIRECCION,TIPO_DE_SINIESTRO,CAUSA_PROBABLE,TIPO_DE_VEHICULO_1,LESIONADOS,FALLECIDOS,FERIADO,ANIO,MES,DIA,DIA_SEMANA,NOMBRE_DIA,HORA_DECIMAL,HORA_NUM,RANGO_HORARIO,TOTAL_VICTIMAS,NUM_ACCIDENTES,RIESGO_PORCENTAJE,NIVEL_RIESGO
2024-01-01,15:34:59.952000,CUENCA,MOLLETURO,RURAL,-2.766635,-79.404454,RED VIAL E 582 KM 65 APROXIMADAMENTE  SENTIDO  GUAYAQUIL  - CUENCA FRENTE COMEDOR RAID 1969 PASANDO HIERBA BUENA,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",AUTOMÓVIL,0,0,SI,2024,1,1,0,LUNES,15.583055555555555,15,TARDE,0,1,9.09,BAJO
2024-01-01,21:09:59.962000,CUENCA,SAYAUSI,RURAL,-2.802869,-79.158422,SE ENCUENTRA UBICADO RED ESTATAL E-582 SENTIDO CUENCA  -  MOLLETURO   KM 39 APROXIMADAMENTE,PÉRDIDA DE CARRIL,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",CAMIONETA,3,0,SI,2024,1,1,0,LUNES,21.16638888888889,21,NOCHE,3,1,9.09,BAJO
2024-01-03,08:15:00.086000,CUENCA,TARQUI (CUENCA),RURAL,-2.974194,-79.047028,RED VIAL E 35 KM 6,PÉRDIDA DE CARRIL,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESPECIAL,3,0,NO,2024,1,3,2,MIERCOLES,8.25,8,MANANA,3,1,9.09,BAJO
2024-01-05,21:39:59.933000,CUENCA,BAÑOS (CUENCA),RURAL,-2.940667,-79.046417,RED VIAL E  35  KM 1.5 APROXIMADAMENTE.,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",AUTOMÓVIL,0,0,NO,2024,1,5,4,VIERNES,21.66638888888889,21,NOCHE,0,1,9.09,BAJO
2024-01-06,19:59:59.971000,CUENCA,TARQUI (CUENCA),RURAL,-3.035944,-79.041639,RED VIAL E 35 KM 13 APROXIMADAMENTE.,CHOQUE POSTERIOR,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,AUTOMÓVIL,1,0,NO,2024,1,6,5,SABADO,19.999722222222225,19,NOCHE,1,1,9.09,BAJO
2024-01-09,20:34:59.923000,CUENCA,CUMBE,RURAL,-3.110169,-79.011062,SE ENCUENTRA UBICADO RED ESTATAL E-35 SENTIDO CUENCA   -  LOJA   AL LLEGAR AL KM 46+700,PÉRDIDA DE CARRIL,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",CAMIONETA,0,0,NO,2024,1,9,1,MARTES,20.583055555555557,20,NOCHE,0,1,9.09,BAJO
2024-01-12,17:44:59.971000,CUENCA,MOLLETURO,RURAL,-2.781783,-79.377384,SE ENCUENTRA UBICADO EN LA RED ESTATAL E-582 SENTIDO MOLLETURO ¿ CUENCA  KM 58+420,PÉRDIDA DE CARRIL,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",CAMIÓN,0,0,NO,2024,1,12,4,VIERNES,17.749722222222225,17,TARDE,0,1,9.09,BAJO
2024-01-14,01:21:59.962000,CUENCA,TARQUI (CUENCA),RURAL,-3.022611,-79.039028,RED VIAL E 35 KM 12,PÉRDIDA DE CARRIL,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",MOTOCICLETA,1,0,NO,2024,1,14,6,DOMINGO,1.3663888888888889,1,MADRUGADA,1,1,9.09,BAJO
2024-01-19,03:00:00.086000,CUENCA,MOLLETURO,RURAL,-2.808611,-79.318333,SE ENCUENTRA UBICADO EN LA RED ESTATAL E-582 SENTIDO MOLLETURO ¿ CUENCA  A LA ALTURA DEL KM 48+480,CHOQUE FRONTAL,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CAMIÓN,2,0,NO,2024,1,19,4,VIERNES,3.0,3,MADRUGADA,2,1,9.09,BAJO
2024-01-19,21:39:59.933000,CUENCA,TARQUI (CUENCA),RURAL,-2.971139,-79.047611,RED VIAL E 35 KM 5 APROXIMADAMENTE.,ROZAMIENTOS,NO GUARDAR LA DISTANCIA LATERAL MÍNIMA DE SEGURIDAD ENTRE VEHÍCULOS.,CAMIONETA,0,0,NO,2024,1,19,4,VIERNES,21.66638888888889,21,NOCHE,0,1,9.09,BAJO
