PARROQUIA,ZONA,MES,DIA_SEMANA,HORA_NUM,ACCIDENTES,PROM_LESIONADOS,PROM_FALLECIDOS,PROM_TOTAL_VICTIMAS,CAUSA_MAS_FRECUENTE,TIPO_SINIESTRO_MAS_FRECUENTE,TIPO_VEHICULO_MAS_FRECUENTE,LATITUD_PROM,LONGITUD_PROM,RIESGO_PORC,NIVEL_RIESGO
BAÑOS (CUENCA),RURAL,1,1,7,1,0.0,0.0,0.0,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE FRONTAL,CAMIONETA,-2.920229,-79.066367,20.0,BAJO
BAÑOS (CUENCA),RURAL,1,2,19,1,3.0,0.0,3.0,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE FRONTAL,AUTOMÓVIL,-2.941882,-79.045685,20.0,BAJO
BAÑOS (CUENCA),RURAL,1,4,21,1,0.0,0.0,0.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,AUTOMÓVIL,-2.940667,-79.046417,20.0,BAJO
BAÑOS (CUENCA),RURAL,1,5,10,1,0.0,0.0,0.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,AUTOMÓVIL,-2.95225,-79.048444,20.0,BAJO
BAÑOS (CUENCA),RURAL,2,1,12,1,1.0,0.0,1.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",OTROS,NO IDENTIFICADO,-2.941439,-79.048179,20.0,BAJO
BAÑOS (CUENCA),RURAL,2,1,20,1,1.0,0.0,1.0,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE FRONTAL,AUTOMÓVIL,-2.921718,-79.079933,20.0,BAJO
BAÑOS (CUENCA),RURAL,2,3,1,1,0.0,0.0,0.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,CAMIÓN,-2.950666,-79.047555,20.0,BAJO
BAÑOS (CUENCA),RURAL,3,3,7,1,0.0,0.0,0.0,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,COLISIÓN,AUTOMÓVIL,-2.949889,-79.047194,20.0,BAJO
BAÑOS (CUENCA),RURAL,3,6,2,1,0.0,0.0,0.0,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE LATERAL,VEHÍCULO DEPORTIVO UTILITARIO,-2.920433,-79.062729,20.0,BAJO
BAÑOS (CUENCA),RURAL,3,6,17,1,0.0,0.0,0.0,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,VEHÍCULO DEPORTIVO UTILITARIO,-2.948083,-79.047001,20.0,BAJO
