RIESGO_REAL;RIESGO_PREDICHO;ERROR_ABSOLUTO;NIVEL_REAL;NIVEL_PREDICHO
63,64;42,11811;21,521889;ALTO;MEDIO
9,09;12,279675;3,1896744;BAJO;BAJO
54,55;46,686012;7,863987;ALTO;MEDIO
27,27;21,485207;5,784794;BAJO;BAJO
9,09;6,5568066;2,5331936;BAJO;BAJO
54,55;67,94682;13,396824;ALTO;ALTO
45,45;39,374237;6,0757637;MEDIO;MEDIO
63,64;51,927544;11,712456;ALTO;MEDIO
9,09;11,941938;2,8519382;BAJO;BAJO
27,27;29,356539;2,0865383;BAJO;BAJO
45,45;34,997128;10,452873;MEDIO;BAJO
9,09;8,666361;0,4236393;BAJO;BAJO
72,73;67,50982;5,2201843;ALTO;ALTO
27,27;43,316383;16,046383;BAJO;MEDIO
9,09;4,5483384;4,5416617;BAJO;BAJO
45,45;40,456978;4,993023;MEDIO;MEDIO
54,55;34,21276;20,337238;ALTO;BAJO
9,09;7,36564;1,72436;BAJO;BAJO
9,09;21,807579;12,717579;BAJO;BAJO
54,55;50,23484;4,315159;ALTO;MEDIO
36,36;18,155231;18,20477;BAJO;BAJO
27,27;37,97422;10,70422;BAJO;MEDIO
9,09;7,696088;1,3939123;BAJO;BAJO
72,73;51,444614;21,285389;ALTO;MEDIO
36,36;29,043003;7,3169975;BAJO;BAJO
9,09;7,829772;1,2602282;BAJO;BAJO
100,0;63,31887;36,68113;ALTO;ALTO
9,09;7,586912;1,503088;BAJO;BAJO
63,64;50,594086;13,045914;ALTO;MEDIO
54,55;46,650093;7,899906;ALTO;MEDIO
9,09;12,035814;2,9458141;BAJO;BAJO
81,82;47,769306;34,050694;ALTO;MEDIO
18,18;59,92875;41,74875;BAJO;ALTO
18,18;34,862335;16,682335;BAJO;BAJO
36,36;41,26794;4,90794;BAJO;MEDIO
9,09;16,024776;6,9347763;BAJO;BAJO
54,55;42,218952;12,331047;ALTO;MEDIO
9,09;23,384943;14,294943;BAJO;BAJO
9,09;6,112532;2,977468;BAJO;BAJO
18,18;59,598064;41,418064;BAJO;ALTO
72,73;59,99602;12,733982;ALTO;ALTO
27,27;34,10463;6,834629;BAJO;BAJO
9,09;6,214642;2,875358;BAJO;BAJO
9,09;9,269042;0,17904186;BAJO;BAJO
27,27;31,484514;4,214514;BAJO;BAJO
36,36;23,675922;12,684078;BAJO;BAJO
9,09;25,206646;16,116646;BAJO;BAJO
9,09;6,3170285;2,7729716;BAJO;BAJO
9,09;12,829193;3,739193;BAJO;BAJO
27,27;36,522057;9,252056;BAJO;BAJO
45,45;34,386982;11,063019;MEDIO;BAJO
72,73;51,444614;21,285389;ALTO;MEDIO
36,36;53,354218;16,994217;BAJO;ALTO
9,09;22,12276;13,032761;BAJO;BAJO
54,55;53,92471;0,6252899;ALTO;ALTO
36,36;57,114517;20,754517;BAJO;ALTO
9,09;6,8547974;2,2352028;BAJO;BAJO
9,09;5,049066;4,040934;BAJO;BAJO
18,18;33,740875;15,560875;BAJO;BAJO
27,27;19,349434;7,9205666;BAJO;BAJO
9,09;16,138306;7,0483055;BAJO;BAJO
18,18;42,498714;24,318714;BAJO;MEDIO
27,27;38,353046;11,083046;BAJO;MEDIO
27,27;47,43679;20,16679;BAJO;MEDIO
18,18;59,490036;41,310036;BAJO;ALTO
45,45;39,276188;6,173813;MEDIO;MEDIO
9,09;4,800429;4,2895713;BAJO;BAJO
9,09;7,7107134;1,3792868;BAJO;BAJO
63,64;42,115456;21,524544;ALTO;MEDIO
81,82;56,124603;25,695396;ALTO;ALTO
18,18;39,4759;21,295898;BAJO;MEDIO
9,09;16,6972;7,6072006;BAJO;BAJO
9,09;11,269806;2,1798058;BAJO;BAJO
45,45;28,836891;16,61311;MEDIO;BAJO
81,82;61,167336;20,652664;ALTO;ALTO
9,09;17,178015;8,088015;BAJO;BAJO
9,09;5,348433;3,7415671;BAJO;BAJO
36,36;37,53635;1,1763496;BAJO;MEDIO
54,55;56,04999;1,4999924;ALTO;ALTO
45,45;60,953392;15,503391;MEDIO;ALTO
18,18;27,27624;9,096239;BAJO;BAJO
54,55;66,7286;12,1786;ALTO;ALTO
81,82;53,44841;28,37159;ALTO;ALTO
9,09;6,653922;2,436078;BAJO;BAJO
63,64;52,80397;10,836029;ALTO;ALTO
27,27;36,483185;9,213184;BAJO;BAJO
45,45;36,780727;8,669273;MEDIO;BAJO
36,36;42,32702;5,967018;BAJO;MEDIO
45,45;39,57059;5,87941;MEDIO;MEDIO
45,45;53,960133;8,510132;MEDIO;ALTO
9,09;10,120935;1,0309353;BAJO;BAJO
54,55;45,929684;8,620316;ALTO;MEDIO
27,27;48,825165;21,555164;BAJO;MEDIO
45,45;37,16645;8,28355;MEDIO;BAJO
9,09;5,6854496;3,4045506;BAJO;BAJO
18,18;38,690723;20,510723;BAJO;MEDIO
9,09;38,50319;29,413189;BAJO;MEDIO
9,09;11,664125;2,5741253;BAJO;BAJO
9,09;14,860812;5,770812;BAJO;BAJO
54,55;59,349895;4,7998962;ALTO;ALTO
9,09;14,41394;5,3239403;BAJO;BAJO
36,36;39,391357;3,0313568;BAJO;MEDIO
36,36;40,47204;4,1120377;BAJO;MEDIO
27,27;42,401985;15,131985;BAJO;MEDIO
9,09;10,136124;1,0461235;BAJO;BAJO
9,09;4,557585;4,5324154;BAJO;BAJO
72,73;59,70049;13,029514;ALTO;ALTO
27,27;20,735231;6,534769;BAJO;BAJO
27,27;30,765999;3,4959984;BAJO;BAJO
27,27;17,421686;9,848314;BAJO;BAJO
36,36;57,114517;20,754517;BAJO;ALTO
36,36;42,926506;6,5665054;BAJO;MEDIO
81,82;66,317406;15,502594;ALTO;ALTO
63,64;53,200485;10,439514;ALTO;ALTO
36,36;32,864372;3,4956284;BAJO;BAJO
81,82;67,50675;14,313248;ALTO;ALTO
9,09;22,900791;13,810791;BAJO;BAJO
36,36;34,27412;2,0858803;BAJO;BAJO
18,18;32,39324;14,213242;BAJO;BAJO
9,09;12,989327;3,8993273;BAJO;BAJO
45,45;54,03018;8,580181;MEDIO;ALTO
9,09;14,246577;5,156577;BAJO;BAJO
9,09;22,776134;13,686134;BAJO;BAJO
54,55;45,929684;8,620316;ALTO;MEDIO
18,18;40,558285;22,378284;BAJO;MEDIO
27,27;31,484514;4,214514;BAJO;BAJO
54,55;54,297375;0,2526245;ALTO;ALTO
9,09;12,06149;2,97149;BAJO;BAJO
45,45;57,20925;11,759251;MEDIO;ALTO
45,45;40,92948;4,5205193;MEDIO;MEDIO
27,27;55,349754;28,079754;BAJO;ALTO
9,09;7,661596;1,4284043;BAJO;BAJO
54,55;45,079845;9,470154;ALTO;MEDIO
18,18;13,420446;4,759554;BAJO;BAJO
36,36;30,520636;5,839365;BAJO;BAJO
36,36;48,008423;11,648422;BAJO;MEDIO
9,09;8,774577;0,315423;BAJO;BAJO
18,18;24,377056;6,197056;BAJO;BAJO
9,09;13,399678;4,309678;BAJO;BAJO
45,45;57,72763;12,27763;MEDIO;ALTO
18,18;24,064423;5,8844223;BAJO;BAJO
45,45;41,905754;3,5442467;MEDIO;MEDIO
45,45;30,245176;15,204824;MEDIO;BAJO
45,45;28,836891;16,61311;MEDIO;BAJO
27,27;49,975567;22,705566;BAJO;MEDIO
18,18;31,83804;13,658039;BAJO;BAJO
45,45;49,470104;4,0201035;MEDIO;MEDIO
45,45;64,14282;18,692822;MEDIO;ALTO
9,09;10,202501;1,1125011;BAJO;BAJO
9,09;46,562843;37,472843;BAJO;MEDIO
36,36;42,926506;6,5665054;BAJO;MEDIO
9,09;20,863937;11,773937;BAJO;BAJO
9,09;9,013805;0,07619476;BAJO;BAJO
27,27;26,864275;0,40572548;BAJO;BAJO
18,18;31,671095;13,491095;BAJO;BAJO
18,18;30,696836;12,516836;BAJO;BAJO
9,09;5,797975;3,292025;BAJO;BAJO
9,09;6,3034244;2,7865758;BAJO;BAJO
27,27;55,393314;28,123314;BAJO;ALTO
45,45;48,35734;2,907341;MEDIO;MEDIO
9,09;15,304121;6,214121;BAJO;BAJO
27,27;56,762146;29,492146;BAJO;ALTO
36,36;37,561207;1,2012062;BAJO;MEDIO
18,18;9,592556;8,587444;BAJO;BAJO
9,09;13,352137;4,2621365;BAJO;BAJO
9,09;5,7267017;3,3632984;BAJO;BAJO
54,55;46,73295;7,817051;ALTO;MEDIO
36,36;25,813828;10,546173;BAJO;BAJO
54,55;46,650093;7,899906;ALTO;MEDIO
54,55;35,624107;18,925892;ALTO;BAJO
9,09;8,766453;0,32354736;BAJO;BAJO
27,27;45,259174;17,989174;BAJO;MEDIO
9,09;11,35455;2,2645502;BAJO;BAJO
45,45;52,106224;6,6562233;MEDIO;ALTO
100,0;61,23918;38,76082;ALTO;ALTO
90,91;66,43981;24,470192;ALTO;ALTO
45,45;47,921547;2,4715462;MEDIO;MEDIO
36,36;24,992905;11,367096;BAJO;BAJO
9,09;3,623458;5,4665422;BAJO;BAJO
81,82;55,365192;26,454807;ALTO;ALTO
36,36;25,44348;10,916521;BAJO;BAJO
45,45;27,177563;18,272438;MEDIO;BAJO
9,09;7,5908713;1,4991288;BAJO;BAJO
72,73;55,01275;17,717255;ALTO;ALTO
63,64;42,316536;21,323463;ALTO;MEDIO
81,82;60,473515;21,346485;ALTO;ALTO
9,09;9,503665;0,41366482;BAJO;BAJO
72,73;43,439457;29,290546;ALTO;MEDIO
45,45;43,385777;2,0642242;MEDIO;MEDIO
36,36;25,813828;10,546173;BAJO;BAJO
63,64;51,927544;11,712456;ALTO;MEDIO
9,09;48,75435;39,66435;BAJO;MEDIO
9,09;7,9187975;1,1712027;BAJO;BAJO
18,18;26,036327;7,856327;BAJO;BAJO
18,18;10,896123;7,2838774;BAJO;BAJO
27,27;37,266354;9,996353;BAJO;BAJO
9,09;10,609128;1,5191278;BAJO;BAJO
